surveyid,fieldactivityid,source,sampletype,station,sampledate,layer,samplenumber,gmethod,tsn,latinname,size,method,parameter,reportingvalue,reportingunit,nodccode,speccode,serialnumber
149287,0,odu/pel,c,cb6.1,1989-08-14t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,1480000000,l,auto_pico,1148,not_avail
149287,0,odu/pel,c,cb6.1,1989-08-14t00:00:00,ap,fs1,07,57429,carinoma_tremaphoros,not_specified,bm204,afdw,0.0072,l,4302020101,t1240,not_avail
149287,0,odu/pel,c,cb6.1,1989-08-14t00:00:00,ap,fs1,07,57429,carinoma_tremaphoros,not_specified,bm204,afdw,0.0197,l,4302020101,t1240,not_avail
149287,0,odu/pel,c,cb6.1,1989-08-14t00:00:00,ap,fs1,07,57429,carinoma_tremaphoros,not_specified,bm204,afdw,0.0217,l,4302020101,t1240,not_avail
149287,0,odu/pel,c,cb6.1,1989-08-14t00:00:00,ap,fs1,07,64358,polychaeta,not_specified,bm204,afdw,0.0069,l,5001,t235,not_avail
149287,0,odu/pel,c,cb6.1,1989-08-14t00:00:00,ap,fs1,07,64358,polychaeta,not_specified,bm204,afdw,0.0099,l,5001,t235,not_avail
149287,0,odu/pel,c,cb6.1,1989-08-14t00:00:00,ap,fs1,07,64358,polychaeta,not_specified,bm204,afdw,0.0361,l,5001,t235,not_avail
149287,0,odu/pel,c,cb6.1,1989-08-14t00:00:00,ap,fs1,07,69458,mollusca,not_specified,bm204,afdw,0.0006,l,5085,t978,not_avail
149287,0,odu/pel,c,cb6.1,1989-08-14t00:00:00,ap,fs1,07,69458,mollusca,not_specified,bm204,afdw,0.0007,l,5085,t978,not_avail
149287,0,odu/pel,c,cb6.1,1989-08-14t00:00:00,ap,fs1,07,69458,mollusca,not_specified,bm204,afdw,0.0019,l,5085,t978,not_avail
149287,0,odu/pel,c,cb6.1,1989-08-14t00:00:00,ap,fs1,07,93773,gammarus,not_specified,bm204,afdw,0.0002,l,61692107,t464,not_avail
149287,0,odu/pel,c,cb6.1,1989-08-14t00:00:00,ap,fs1,07,93773,gammarus,not_specified,bm204,afdw,0.0004,l,61692107,t464,not_avail
149287,0,odu/pel,c,cb6.1,1989-08-14t00:00:00,ap,fs1,07,93773,gammarus,not_specified,bm204,afdw,0.0012,l,61692107,t464,not_avail
149287,0,odu/pel,c,cb6.1,1989-08-14t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,444000000,l,auto_pico,1148,not_avail
149287,0,odu/pel,c,cb6.1,1989-08-14t00:00:00,bp,fs1,07,57429,carinoma_tremaphoros,not_specified,bm204,afdw,0.0002,l,4302020101,t1240,not_avail
