huc8,catalogingunitdescription,datatype,source,sampletype,sampledate,layer,latitude,longitude,pdepth,salzone,samplevolume,units,station,totaldepth,sampletime
,,phytp,msu/pearl,c,1984-08-07t00:00:00,ap,39.54794,-76.08481,2.3,tf,15,liter,cb1.1,6.5,15:05:00
,,phytp,msu/pearl,c,1984-08-07t00:00:00,bp,39.54794,-76.08481,6,tf,15,liter,cb1.1,6.5,15:05:00
,,phytp,msu/pearl,c,1984-09-12t00:00:00,ap,39.54794,-76.08481,2.5,tf,15,liter,cb1.1,7,12:40:00
,,phytp,msu/pearl,c,1984-09-12t00:00:00,bp,39.54794,-76.08481,6.5,tf,15,liter,cb1.1,7,12:40:00
,,phytp,msu/pearl,c,1984-09-26t00:00:00,ap,39.54794,-76.08481,2,tf,15,liter,cb1.1,6,12:30:00
,,phytp,msu/pearl,c,1984-09-26t00:00:00,bp,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,12:30:00
,,phytp,msu/pearl,c,1984-10-10t00:00:00,ap,39.54794,-76.08481,2,tf,15,liter,cb1.1,6,12:10:00
,,phytp,msu/pearl,c,1984-10-10t00:00:00,bp,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,12:10:00
,,phytp,msu/pearl,c,1984-11-07t00:00:00,ap,39.54794,-76.08481,2,tf,15,liter,cb1.1,5,14:45:00
,,phytp,msu/pearl,c,1984-11-07t00:00:00,bp,39.54794,-76.08481,4.5,tf,15,liter,cb1.1,5,14:45:00
,,phytp,msu/pearl,c,1984-12-12t00:00:00,ap,39.54794,-76.08481,2.5,tf,15,liter,cb1.1,7,14:48:00
,,phytp,msu/pearl,c,1984-12-12t00:00:00,bp,39.54794,-76.08481,6.5,tf,15,liter,cb1.1,7,14:48:00
,,phytp,msu/pearl,c,1985-03-21t00:00:00,ap,39.54794,-76.08481,2,tf,15,liter,cb1.1,6,12:10:00
,,phytp,msu/pearl,c,1985-03-21t00:00:00,bp,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,12:10:00
,,phytp,msu/pearl,c,1985-04-10t00:00:00,ap,39.54794,-76.08481,2.5,tf,15,liter,cb1.1,7,13:38:00
,,phytp,msu/pearl,c,1985-04-10t00:00:00,bp,39.54794,-76.08481,6.5,tf,15,liter,cb1.1,7,13:38:00
,,phytp,msu/pearl,c,1985-04-24t00:00:00,ap,39.54794,-76.08481,4,tf,15,liter,cb1.1,6,16:13:00
,,phytp,msu/pearl,c,1985-04-24t00:00:00,bp,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,16:13:00
,,phytp,msu/pearl,c,1985-05-08t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,6,10:41:00
,,phytp,msu/pearl,c,1985-05-08t00:00:00,bp,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,10:41:00
,,phytp,msu/pearl,c,1985-05-22t00:00:00,ap,39.54794,-76.08481,2.5,tf,15,liter,cb1.1,5.5,11:28:00
,,phytp,msu/pearl,c,1985-05-22t00:00:00,bp,39.54794,-76.08481,5,tf,15,liter,cb1.1,5.5,11:28:00
,,phytp,msu/pearl,c,1985-06-05t00:00:00,ap,39.54794,-76.08481,3.5,tf,15,liter,cb1.1,7,10:23:00
,,phytp,msu/pearl,c,1985-06-05t00:00:00,bp,39.54794,-76.08481,6.5,tf,15,liter,cb1.1,7,10:23:00
,,phytp,msu/pearl,c,1985-06-19t00:00:00,ap,39.54794,-76.08481,2.5,tf,15,liter,cb1.1,6.4,11:00:00
,,phytp,msu/pearl,c,1985-06-19t00:00:00,bp,39.54794,-76.08481,5.9,tf,15,liter,cb1.1,6.4,11:00:00
,,phytp,msu/pearl,c,1985-07-10t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,6.5,11:20:00
,,phytp,msu/pearl,c,1985-07-10t00:00:00,bp,39.54794,-76.08481,6,tf,15,liter,cb1.1,6.5,11:20:00
,,phytp,msu/pearl,c,1985-07-24t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,6.5,11:54:00
,,phytp,msu/pearl,c,1985-07-24t00:00:00,bp,39.54794,-76.08481,6,tf,15,liter,cb1.1,6.5,11:54:00
,,phytp,msu/pearl,c,1985-08-08t00:00:00,ap,39.54794,-76.08481,2,tf,15,liter,cb1.1,5,12:10:00
,,phytp,msu/pearl,c,1985-08-08t00:00:00,bp,39.54794,-76.08481,4.5,tf,15,liter,cb1.1,5,12:10:00
,,phytp,msu/pearl,c,1985-08-21t00:00:00,ap,39.54794,-76.08481,2.5,tf,15,liter,cb1.1,6,10:35:00
,,phytp,msu/pearl,c,1985-08-21t00:00:00,bp,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,10:35:00
,,phytp,msu/pearl,c,1985-09-11t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,6,12:29:00
,,phytp,msu/pearl,c,1985-09-11t00:00:00,bp,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,12:29:00
,,phytp,msu/pearl,c,1985-09-25t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,6.5,10:34:00
,,phytp,msu/pearl,c,1985-09-25t00:00:00,bp,39.54794,-76.08481,6,tf,15,liter,cb1.1,6.5,10:34:00
,,phytp,msu/pearl,c,1985-10-09t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,6,11:09:00
,,phytp,msu/pearl,c,1985-10-09t00:00:00,bp,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,11:09:00
,,phytp,msu/pearl,c,1985-11-14t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,7,10:47:00
,,phytp,msu/pearl,c,1985-11-14t00:00:00,bp,39.54794,-76.08481,6.5,tf,15,liter,cb1.1,7,10:47:00
,,phytp,msu/pearl,c,1985-12-11t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,7,11:22:00
,,phytp,msu/pearl,c,1985-12-11t00:00:00,bp,39.54794,-76.08481,6.5,tf,15,liter,cb1.1,7,11:22:00
,,phytp,msu/pearl,c,1986-03-12t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,6,10:51:00
,,phytp,msu/pearl,c,1986-03-12t00:00:00,bp,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,10:51:00
,,phytp,msu/pearl,c,1986-04-09t00:00:00,ap,39.54794,-76.08481,3.5,tf,15,liter,cb1.1,7,10:46:00
,,phytp,msu/pearl,c,1986-04-09t00:00:00,bp,39.54794,-76.08481,6.5,tf,15,liter,cb1.1,7,10:46:00
,,phytp,msu/pearl,c,1986-04-23t00:00:00,ap,39.54794,-76.08481,3.5,tf,15,liter,cb1.1,7,10:52:00
