unique_id,salzone,season,station,sampledate,samplenumber,metric,value,score,ibi_score,rating
ret5.2_ap_fs1_2013-03-20,f,spring,ret5.2,2013-03-20,fs1,total_phyto_biomass_chla_ratio,267.514913185185,5,2.6,fair_poor
ret5.2_ap_fs1_2013-04-02,f,spring,ret5.2,2013-04-02,fs1,total_phyto_biomass_chla_ratio,178.535053552632,5,2.6,fair_poor
ret5.2_ap_fs1_2013-05-09,f,spring,ret5.2,2013-05-09,fs1,total_phyto_biomass_chla_ratio,70.2142865689655,5,3,fair
ret5.2_ap_fs1_2014-03-19,f,spring,ret5.2,2014-03-19,fs1,total_phyto_biomass_chla_ratio,144.660785150571,5,2.6,fair_poor
ret5.2_ap_fs1_2014-04-01,f,spring,ret5.2,2014-04-01,fs1,total_phyto_biomass_chla_ratio,67.401802905641,5,2.2,fair_poor
ret5.2_ap_fs1_2014-05-06,f,spring,ret5.2,2014-05-06,fs1,total_phyto_biomass_chla_ratio,60.6845510391892,5,1.8,poor
ret5.2_ap_fs1_2015-04-16,f,spring,ret5.2,2015-04-16,fs1,total_phyto_biomass_chla_ratio,50.3650236363095,5,1.8,poor
ret5.2_ap_fs1_2015-05-06,f,spring,ret5.2,2015-05-06,fs1,total_phyto_biomass_chla_ratio,78.5906717840237,5,1.8,poor
ret5.2_ap_fs1_2016-03-01,f,spring,ret5.2,2016-03-01,fs1,total_phyto_biomass_chla_ratio,98.95238534375,5,3.4,fair_good
tf3.3_ap_fs1_2016-03-17,f,spring,tf3.3,2016-03-17,fs1,total_phyto_biomass_chla_ratio,191.283346315972,5,2.6,fair_poor
ret3.1_ap_fs1_2016-05-10,f,spring,ret3.1,2016-05-10,fs1,total_phyto_biomass_chla_ratio,217.780033980435,5,2.6,fair_poor
tf5.5_ap_fs1_2016-05-12,f,spring,tf5.5,2016-05-12,fs1,total_phyto_biomass_chla_ratio,33.5262112690909,1,3.4,fair_good
ret5.2_ap_fs1_2016-05-19,f,spring,ret5.2,2016-05-19,fs1,total_phyto_biomass_chla_ratio,54.4340396022044,5,3.4,fair_good
ret5.2_ap_fs1_2013-03-20,f,spring,ret5.2,2013-03-20,fs1,surface_chla,4.59,5,2.6,fair_poor
ret5.2_ap_fs1_2013-04-02,f,spring,ret5.2,2013-04-02,fs1,surface_chla,3.42,3,2.6,fair_poor
ret5.2_ap_fs1_2013-05-09,f,spring,ret5.2,2013-05-09,fs1,surface_chla,9.86,5,3,fair
ret5.2_ap_fs1_2014-03-19,f,spring,ret5.2,2014-03-19,fs1,surface_chla,9.63,5,2.6,fair_poor
ret5.2_ap_fs1_2014-04-01,f,spring,ret5.2,2014-04-01,fs1,surface_chla,19.5,1,2.2,fair_poor
ret5.2_ap_fs1_2014-05-06,f,spring,ret5.2,2014-05-06,fs1,surface_chla,14.8,1,1.8,poor
ret5.2_ap_fs1_2015-04-16,f,spring,ret5.2,2015-04-16,fs1,surface_chla,16.8,1,1.8,poor
ret5.2_ap_fs1_2015-05-06,f,spring,ret5.2,2015-05-06,fs1,surface_chla,16.9,1,1.8,poor
ret5.2_ap_fs1_2016-03-01,f,spring,ret5.2,2016-03-01,fs1,surface_chla,2.56,1,3.4,fair_good
tf3.3_ap_fs1_2016-03-17,f,spring,tf3.3,2016-03-17,fs1,surface_chla,2.88,1,2.6,fair_poor
ret3.1_ap_fs1_2016-05-10,f,spring,ret3.1,2016-05-10,fs1,surface_chla,13.8,5,2.6,fair_poor
tf5.5_ap_fs1_2016-05-12,f,spring,tf5.5,2016-05-12,fs1,surface_chla,5.5,5,3.4,fair_good
ret5.2_ap_fs1_2016-05-19,f,spring,ret5.2,2016-05-19,fs1,surface_chla,9.98,5,3.4,fair_good
ret5.2_ap_fs1_2013-03-20,f,spring,ret5.2,2013-03-20,fs1,doc,4.18,1,2.6,fair_poor
ret5.2_ap_fs1_2013-04-02,f,spring,ret5.2,2013-04-02,fs1,doc,3.81,1,2.6,fair_poor
ret5.2_ap_fs1_2013-05-09,f,spring,ret5.2,2013-05-09,fs1,doc,3.4,1,3,fair
ret5.2_ap_fs1_2014-03-19,f,spring,ret5.2,2014-03-19,fs1,doc,2.68,1,2.6,fair_poor
ret5.2_ap_fs1_2014-04-01,f,spring,ret5.2,2014-04-01,fs1,doc,2.33,3,2.2,fair_poor
ret5.2_ap_fs1_2014-05-06,f,spring,ret5.2,2014-05-06,fs1,doc,4.34,1,1.8,poor
ret5.2_ap_fs1_2015-04-16,f,spring,ret5.2,2015-04-16,fs1,doc,3.23,1,1.8,poor
ret5.2_ap_fs1_2015-05-06,f,spring,ret5.2,2015-05-06,fs1,doc,3.92,1,1.8,poor
ret5.2_ap_fs1_2016-03-01,f,spring,ret5.2,2016-03-01,fs1,doc,3.7,1,3.4,fair_good
tf3.3_ap_fs1_2016-03-17,f,spring,tf3.3,2016-03-17,fs1,doc,3.27,1,2.6,fair_poor
ret3.1_ap_fs1_2016-05-10,f,spring,ret3.1,2016-05-10,fs1,doc,2.97,1,2.6,fair_poor
tf5.5_ap_fs1_2016-05-12,f,spring,tf5.5,2016-05-12,fs1,doc,4.4,1,3.4,fair_good
ret5.2_ap_fs1_2016-05-19,f,spring,ret5.2,2016-05-19,fs1,doc,5.04,1,3.4,fair_good
ret5.2_ap_fs1_2013-03-20,f,spring,ret5.2,2013-03-20,fs1,pheophytin,4.68,1,2.6,fair_poor
ret5.2_ap_fs1_2013-04-02,f,spring,ret5.2,2013-04-02,fs1,pheophytin,2.82,1,2.6,fair_poor
ret5.2_ap_fs1_2013-05-09,f,spring,ret5.2,2013-05-09,fs1,pheophytin,4.27,1,3,fair
ret5.2_ap_fs1_2014-03-19,f,spring,ret5.2,2014-03-19,fs1,pheophytin,6.68,1,2.6,fair_poor
ret5.2_ap_fs1_2014-04-01,f,spring,ret5.2,2014-04-01,fs1,pheophytin,6.39,1,2.2,fair_poor
ret5.2_ap_fs1_2014-05-06,f,spring,ret5.2,2014-05-06,fs1,pheophytin,5.52,1,1.8,poor
ret5.2_ap_fs1_2015-04-16,f,spring,ret5.2,2015-04-16,fs1,pheophytin,9.13,1,1.8,poor
ret5.2_ap_fs1_2015-05-06,f,spring,ret5.2,2015-05-06,fs1,pheophytin,8.49,1,1.8,poor
