huc8,catalogingunitdescription,datatype,source,sampletype,sampledate,layer,latitude,longitude,pdepth,salzone,samplevolume,units,station,totaldepth,sampletime
,,phytp,odu/pel,c,2013-01-16T00:00:00Z,ap,37.24181,-76.38634,4,p,15,liter,we4.2,13,1901-12-13T20:45:52.“48364Z
,,phytp,odu/pel,c,2013-01-16T00:00:00Z,bp,37.24181,-76.38634,12.5,p,15,liter,we4.2,13,1901-12-13T20:45:52.“48364Z
,,phytp,odu/pel,c,2013-01-16T00:00:00Z,ap,37.23653,-76.20799,3,p,15,liter,cb6.4,10,1901-12-13T20:45:52.“48364Z
,,phytp,odu/pel,c,2013-01-16T00:00:00Z,bp,37.23653,-76.20799,9.5,p,15,liter,cb6.4,10,1901-12-13T20:45:52.“48364Z
,,phytp,odu/pel,c,2013-01-16T00:00:00Z,ap,36.99903,-76.31328,2,p,15,liter,le5.5-w,7,1901-12-13T20:45:52.“48364Z
,,phytp,odu/pel,c,2013-01-16T00:00:00Z,bp,36.99903,-76.31328,6.5,p,15,liter,le5.5-w,7,1901-12-13T20:45:52.“48364Z
,,phytp,odu/pel,c,2013-01-28T00:00:00Z,ap,36.9957,-76.02048,5,p,15,liter,cb7.4,16,1901-12-13T20:45:52.“48364Z
,,phytp,odu/pel,c,2013-01-28T00:00:00Z,bp,36.9957,-76.02048,15.5,p,15,liter,cb7.4,16,1901-12-13T20:45:52.“48364Z
,,phytp,odu/pel,c,2013-01-28T00:00:00Z,ap,37.22875,-76.05383,6,p,15,liter,cb7.3e,18,1901-12-13T20:45:52.“48364Z
,,phytp,odu/pel,c,2013-01-28T00:00:00Z,bp,37.22875,-76.05383,17.5,p,15,liter,cb7.3e,18,1901-12-13T20:45:52.“48364Z
,,phytp,odu/pel,c,2013-01-28T00:00:00Z,ap,37.58847,-76.16216,5,m,15,liter,cb6.1,14,1901-12-13T20:45:52.“48364Z
,,phytp,odu/pel,c,2013-01-28T00:00:00Z,bp,37.58847,-76.16216,13.5,p,15,liter,cb6.1,14,1901-12-13T20:45:52.“48364Z
,,phytp,odu/pel,c,2013-01-28T00:00:00Z,ap,37.5968,-76.28467,3,m,15,liter,le3.6,10,1901-12-13T20:45:52.“48364Z
,,phytp,odu/pel,c,2013-01-28T00:00:00Z,bp,37.5968,-76.28467,9.5,m,15,liter,le3.6,10,1901-12-13T20:45:52.“48364Z
