surveyid,fieldactivityid,source,sampletype,station,sampledate,layer,samplenumber,gmethod,tsn,latinname,size,method,parameter,reportingvalue,reportingunit,nodccode,speccode,serialnumber
433321,433321,odu/pel,c,cb6.4,2013-01-16T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,11091300,l,auto_pico,1148,20131015cb6.4
433321,433321,odu/pel,c,cb6.4,2013-01-16T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,12099600,l,auto_pico,1148,20131015cb6.4
433323,433323,odu/pel,c,le5.5-w,2013-01-16T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,10419100,l,auto_pico,1148,20131015le5.5-w
433323,433323,odu/pel,c,le5.5-w,2013-01-16T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,11427400,l,auto_pico,1148,20131015le5.5-w
433319,433319,odu/pel,c,we4.2,2013-01-16T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,10755200,l,auto_pico,1148,20131015we4.2
433319,433319,odu/pel,c,we4.2,2013-01-16T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,11763500,l,auto_pico,1148,20131015we4.2
433329,433329,odu/pel,c,cb6.1,2013-01-28T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,11763500,l,auto_pico,1148,20131015cb6.1
433329,433329,odu/pel,c,cb6.1,2013-01-28T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,6722000,l,auto_pico,1148,20131015cb6.1
433327,433327,odu/pel,c,cb7.3e,2013-01-28T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,9074700,l,auto_pico,1148,20131015cb7.3e
433327,433327,odu/pel,c,cb7.3e,2013-01-28T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,5041500,l,auto_pico,1148,20131015cb7.3e
433325,433325,odu/pel,c,cb7.4,2013-01-28T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,5713700,l,auto_pico,1148,20131015cb7.4
433325,433325,odu/pel,c,cb7.4,2013-01-28T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,7394200,l,auto_pico,1148,20131015cb7.4
433331,433331,odu/pel,c,le3.6,2013-01-28T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,3024900,l,auto_pico,1148,20131015le3.6
433331,433331,odu/pel,c,le3.6,2013-01-28T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,4201250,l,auto_pico,1148,20131015le3.6
433335,433335,odu/pel,c,cb7.3e,2013-02-13T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,6049800,l,auto_pico,1148,20131015cb7.3e
433335,433335,odu/pel,c,cb7.3e,2013-02-13T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,5713700,l,auto_pico,1148,20131015cb7.3e
433333,433333,odu/pel,c,cb7.4,2013-02-13T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,15124500,l,auto_pico,1148,20131015cb7.4
433333,433333,odu/pel,c,cb7.4,2013-02-13T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,9410800,l,auto_pico,1148,20131015cb7.4
433337,433337,odu/pel,c,cb6.1,2013-02-14T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,2688800,l,auto_pico,1148,20131015cb6.1
433337,433337,odu/pel,c,cb6.1,2013-02-14T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,3024900,l,auto_pico,1148,20131015cb6.1
433341,433341,odu/pel,c,cb6.4,2013-02-14T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,7730300,l,auto_pico,1148,20131015cb6.4
433341,433341,odu/pel,c,cb6.4,2013-02-14T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,6385900,l,auto_pico,1148,20131015cb6.4
433339,433339,odu/pel,c,le3.6,2013-02-14T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,10755200,l,auto_pico,1148,20131015le3.6
433339,433339,odu/pel,c,le3.6,2013-02-14T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,3529050,l,auto_pico,1148,20131015le3.6
433343,433343,odu/pel,c,we4.2,2013-02-14T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,5377600,l,auto_pico,1148,20131015we4.2
433343,433343,odu/pel,c,we4.2,2013-02-14T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,3024900,l,auto_pico,1148,20131015we4.2
433345,433345,odu/pel,c,le5.5-w,2013-02-15T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,3529050,l,auto_pico,1148,20131015le5.5-w
433345,433345,odu/pel,c,le5.5-w,2013-02-15T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,3697100,l,auto_pico,1148,20131015le5.5-w
433347,433347,odu/pel,c,tf5.5,2013-03-05T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,6722000,l,auto_pico,1148,20131015tf5.5
433349,433349,odu/pel,c,sbe5,2013-03-13T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,4873450,l,auto_pico,1148,20131015sbe5
433351,433351,odu/pel,c,tf4.2,2013-03-19T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,2016600,l,auto_pico,1148,20131015tf4.2
433357,433357,odu/pel,c,cb6.4,2013-03-20T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,1512450,l,auto_pico,1148,20131015cb6.4
433357,433357,odu/pel,c,cb6.4,2013-03-20T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,1344400,l,auto_pico,1148,20131015cb6.4
433359,433359,odu/pel,c,cb7.3e,2013-03-20T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,2520250,l,auto_pico,1148,20131015cb7.3e
433359,433359,odu/pel,c,cb7.3e,2013-03-20T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,2016600,l,auto_pico,1148,20131015cb7.3e
433361,433361,odu/pel,c,cb7.4,2013-03-20T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,3192950,l,auto_pico,1148,20131015cb7.4
433361,433361,odu/pel,c,cb7.4,2013-03-20T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,1344400,l,auto_pico,1148,20131015cb7.4
433363,433363,odu/pel,c,le5.5-w,2013-03-20T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,3361000,l,auto_pico,1148,20131015le5.5-w
433363,433363,odu/pel,c,le5.5-w,2013-03-20T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,1512450,l,auto_pico,1148,20131015le5.5-w
433355,433355,odu/pel,c,ret5.2,2013-03-20T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,5545650,l,auto_pico,1148,20131015ret5.2
433353,433353,odu/pel,c,we4.2,2013-03-20T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,6049800,l,auto_pico,1148,20131015we4.2
433353,433353,odu/pel,c,we4.2,2013-03-20T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,2016600,l,auto_pico,1148,20131015we4.2
433367,433367,odu/pel,c,ret3.1,2013-03-27T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,5881750,l,auto_pico,1148,20131015ret3.1
433365,433365,odu/pel,c,tf3.3,2013-03-27T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,13444000,l,auto_pico,1148,20131015tf3.3
433369,433369,odu/pel,c,ret5.2,2013-04-02T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,8402500,l,auto_pico,1148,20131015ret5.2
433371,433371,odu/pel,c,tf5.5,2013-04-02T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,10419100,l,auto_pico,1148,20131015tf5.5
433375,433375,odu/pel,c,ret3.1,2013-04-09T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,6385900,l,auto_pico,1148,20131015ret3.1
433373,433373,odu/pel,c,tf3.3,2013-04-09T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,4705400,l,auto_pico,1148,20131015tf3.3
433377,433377,odu/pel,c,sbe5,2013-04-10T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,4369300,l,auto_pico,1148,20131015sbe5
433381,433381,odu/pel,c,cb7.3e,2013-04-15T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,9074700,l,auto_pico,1148,20131015cb7.3e
433381,433381,odu/pel,c,cb7.3e,2013-04-15T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,8066400,l,auto_pico,1148,20131015cb7.3e
433379,433379,odu/pel,c,cb7.4,2013-04-15T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,6385900,l,auto_pico,1148,20131015cb7.4
433379,433379,odu/pel,c,cb7.4,2013-04-15T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,7730300,l,auto_pico,1148,20131015cb7.4
433385,433385,odu/pel,c,cb6.1,2013-04-16T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,11427400,l,auto_pico,1148,20131015cb6.1
433385,433385,odu/pel,c,cb6.1,2013-04-16T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,13107900,l,auto_pico,1148,20131015cb6.1
433391,433391,odu/pel,c,cb6.4,2013-04-16T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,6722000,l,auto_pico,1148,20131015cb6.4
433391,433391,odu/pel,c,cb6.4,2013-04-16T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,11427400,l,auto_pico,1148,20131015cb6.4
433387,433387,odu/pel,c,le3.6,2013-04-16T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,9410800,l,auto_pico,1148,20131015le3.6
433387,433387,odu/pel,c,le3.6,2013-04-16T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,10419100,l,auto_pico,1148,20131015le3.6
433383,433383,odu/pel,c,ret4.3,2013-04-16T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,11763500,l,auto_pico,1148,20131015ret4.3
433389,433389,odu/pel,c,tf4.2,2013-04-16T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,15460600,l,auto_pico,1148,20131015tf4.2
433395,433395,odu/pel,c,le5.5-w,2013-04-17T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,10083000,l,auto_pico,1148,20131015le5.5-w
433395,433395,odu/pel,c,le5.5-w,2013-04-17T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,9746900,l,auto_pico,1148,20131015le5.5-w
433393,433393,odu/pel,c,we4.2,2013-04-17T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,8066400,l,auto_pico,1148,20131015we4.2
433393,433393,odu/pel,c,we4.2,2013-04-17T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,8402500,l,auto_pico,1148,20131015we4.2
433397,433397,odu/pel,c,ret5.2,2013-05-09T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,7252175,l,auto_pico,1148,20131015ret5.2
433399,433399,odu/pel,c,tf5.5,2013-05-09T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,10503150,l,auto_pico,1148,20131015tf5.5
433407,433407,odu/pel,c,cb6.4,2013-05-14T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,14504350,l,auto_pico,1148,20131015cb6.4
433407,433407,odu/pel,c,cb6.4,2013-05-14T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,10503150,l,auto_pico,1148,20131015ret3.1
433403,433403,odu/pel,c,cb7.3e,2013-05-14T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,30509150,l,auto_pico,1148,20131015cb7.3e
433403,433403,odu/pel,c,cb7.3e,2013-05-14T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,24007200,l,auto_pico,1148,20131015cb7.3e
433401,433401,odu/pel,c,cb7.4,2013-05-14T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,23006900,l,auto_pico,1148,20131015cb7.4
433401,433401,odu/pel,c,cb7.4,2013-05-14T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,19505850,l,auto_pico,1148,20131015cb7.4
433413,433413,odu/pel,c,le5.5-w,2013-05-14T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,21006300,l,auto_pico,1148,20131015le5.5-w
433413,433413,odu/pel,c,le5.5-w,2013-05-14T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,15004500,l,auto_pico,1148,20131015le5.5-w
433409,433409,odu/pel,c,ret3.1,2013-05-14T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,27258175,l,auto_pico,1148,20131015cb6.4
433405,433405,odu/pel,c,tf3.3,2013-05-14T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,14504350,l,auto_pico,1148,20131015tf3.3
433411,433411,odu/pel,c,we4.2,2013-05-14T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,34010200,l,auto_pico,1148,20131015we4.2
433411,433411,odu/pel,c,we4.2,2013-05-14T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,25257575,l,auto_pico,1148,20131015we4.2
433417,433417,odu/pel,c,cb6.1,2013-05-16T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,13754125,l,auto_pico,1148,20131015cb6.1
433417,433417,odu/pel,c,cb6.1,2013-05-16T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,16004800,l,auto_pico,1148,20131015cb6.1
433415,433415,odu/pel,c,sbe5,2013-05-16T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,4501350,l,auto_pico,1148,20131015sbe5
433419,433419,odu/pel,c,le3.6,2013-05-17T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,88026400,l,auto_pico,1148,20131015le3.6
433419,433419,odu/pel,c,le3.6,2013-05-17T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,45513650,l,auto_pico,1148,20131015le3.6
433421,433421,odu/pel,c,ret4.3,2013-05-21T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,19005700,l,auto_pico,1148,20131015ret4.3
433423,433423,odu/pel,c,tf4.2,2013-05-21T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,8002400,l,auto_pico,1148,20131015tf4.2
433427,433427,odu/pel,c,cb6.4,2013-06-03T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,161040300,l,auto_pico,1148,20131015cb6.4
433427,433427,odu/pel,c,cb6.4,2013-06-03T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,126037800,l,auto_pico,1148,20131015cb6.4
433429,433429,odu/pel,c,le5.5-w,2013-06-03T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,80024000,l,auto_pico,1148,20131015le5.5-w
433429,433429,odu/pel,c,le5.5-w,2013-06-03T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,91027300,l,auto_pico,1148,20131015le5.5-w
433425,433425,odu/pel,c,we4.2,2013-06-03T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,169050700,l,auto_pico,1148,20131015we4.2
433425,433425,odu/pel,c,we4.2,2013-06-03T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,136040800,l,auto_pico,1148,20131015we4.2
433435,433435,odu/pel,c,cb6.1,2013-06-05T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,44013200,l,auto_pico,1148,20131015cb6.1
433435,433435,odu/pel,c,cb6.1,2013-06-05T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,44013200,l,auto_pico,1148,20131015cb6.1
433433,433433,odu/pel,c,cb7.3e,2013-06-05T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,216064800,l,auto_pico,1148,20131015cb7.3e
433433,433433,odu/pel,c,cb7.3e,2013-06-05T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,247074100,l,auto_pico,1148,20131015cb7.3e
433431,433431,odu/pel,c,cb7.4,2013-06-05T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,114034200,l,auto_pico,1148,20131015cb7.4
