tsn,lbl,size,nodc_phyla,group,carbon_(picogram_c_per_cell)
2187,acanthoica,,6,haptophyta,43.94
2188,acanthoica_acanthifera,,6,haptophyta,52.5
bay0001,acanthoica_acanthos,,6,haptophyta,59.67
2189,acanthoica_aculeata,,6,haptophyta,52.5
2190,acanthoica_quattrospina,,6,haptophyta,63.8
6330,acanthosphaera_zachariasi,,8,chlorophyta,126
3429,achnanthes,,7,diatom,91.66
3437,achnanthes_clevei,,7,diatom,85
3471,achnanthes_delicatula,,7,diatom,78.01
3572,achnanthes_fimbriata,,7,diatom,241.14
3511,achnanthes_lemmermanni,,7,diatom,41.67
3435,achnanthes_longipes,,7,diatom,153.99
3470,achnanthes_subsaloides,,7,diatom,37.63
3436,achnanthes_taeniata,,7,diatom,73.9
6098,actinastrum,,8,chlorophyta,29.25
6099,actinastrum_hantzschii,,8,chlorophyta,31.16
6101,actinastrum_hantzschii_elongatum,,8,chlorophyta,76.55
6100,actinastrum_hantzschii_fluviatile,,8,chlorophyta,42.76
2663,actinocyclus_normanni_normanni,,7,diatom,1048.16
2618,actinoptychus,,7,diatom,1661.77
2620,actinoptychus_senarius,,7,diatom,685.17
2621,actinoptychus_splendens,,7,diatom,3320.75
202432,actinoptychus_vulgaris,,7,diatom,484.4
605,agmenellum,,3,cyanobacteria,6.02
606,agmenellum_quadruplicatum,,3,cyanobacteria,14.04
607,agmenellum_thermale,,3,cyanobacteria,54.4
573526,alexandrium_monilatum,,12,dinoflagellates,1578.02
183936,amphidiniopsis_kofoidii,,12,dinoflagellates,760.32
9997,amphidinium,,12,dinoflagellates,315.24
10008,amphidinium_acutissimum,,12,dinoflagellates,143
10009,amphidinium_acutum,,12,dinoflagellates,249.31
202442,amphidinium_bipes,,12,dinoflagellates,796
9998,amphidinium_carteri,,12,dinoflagellates,162.27
10017,amphidinium_crassum,,12,dinoflagellates,281.07
573326,amphidinium_extensum,,12,dinoflagellates,72.86
10010,amphidinium_glaucum,,12,dinoflagellates,311.4
10011,amphidinium_globosum,,12,dinoflagellates,99.77
10016,amphidinium_klebsii,,12,dinoflagellates,162.27
10012,amphidinium_lacustre,,12,dinoflagellates,244.99
10013,amphidinium_lanceolatum,,12,dinoflagellates,127.5
610145,amphidinium_latum,,12,dinoflagellates,209
10007,amphidinium_longum,,12,dinoflagellates,341.71
10001,amphidinium_operculatum,,12,dinoflagellates,733
202443,amphidinium_ovoideum,,12,dinoflagellates,340.43
10014,amphidinium_schroederi,,12,dinoflagellates,244.99
10006,amphidinium_sphenoides,,12,dinoflagellates,531.74
10015,amphidinium_steini,,12,dinoflagellates,362.25
bay0009,amphidinium_tatrae,,12,dinoflagellates,111.47
573509,amphidinium_turbo,,12,dinoflagellates,480.18
183896,amphidinium_wislouchii,,12,dinoflagellates,733
10357,amphidoma,,12,dinoflagellates,1057
bay0011,amphidoma_acuminata,,12,dinoflagellates,307.3
4674,amphiprora,,7,diatom,561.43
4680,amphiprora_alata,,7,diatom,941.98
bay0012,amphiprora_cholnokyi,,7,diatom,227.09
4695,amphiprora_costata,,7,diatom,399.9
4678,amphiprora_gigantea_sulcata,,7,diatom,789.3
4683,amphiprora_ornata,,7,diatom,488.98
4685,amphiprora_paludosa,,7,diatom,617.32
9923,amphisolenia,,12,dinoflagellates,5489.36
9926,amphisolenia_bidentata,,12,dinoflagellates,17407
9924,amphisolenia_globifera,,12,dinoflagellates,666.6
4705,amphora,,7,diatom,177.86
bay0013,amphora_acuta,,7,diatom,1984.1
4744,amphora_arenaria,,7,diatom,6333
bay0014,amphora_binodis,,7,diatom,393.1
4713,amphora_coffaeiformis,,7,diatom,272.39
4731,amphora_costata,,7,diatom,429.45
4745,amphora_crassa,,7,diatom,3200.6
4732,amphora_cuneata,,7,diatom,748
bay0015,amphora_egregia_interrupta,,7,diatom,5346.2
4746,amphora_exigua,,7,diatom,269.7
bay0016,amphora_gigantea,,7,diatom,7229.6
bay0017,amphora_grevilleana_contracta,,7,diatom,7853.4
4733,amphora_laevis,,7,diatom,1441.9
bay0018,amphora_marina,,7,diatom,808.5
4718,amphora_obtusa,,7,diatom,52665
4720,amphora_ostrearia,,7,diatom,275.6
4721,amphora_ovalis,,7,diatom,625.12
bay0019,amphora_peragalli,,7,diatom,1080.7
4737,amphora_proteoides,,7,diatom,1032
4728,amphora_proteus,,7,diatom,147.51
4729,amphora_robusta,,7,diatom,1111.82
202439,amphora_spectabilis,,7,diatom,63.42
bay0021,amphora_szaboi,,7,diatom,230.3
bay0022,amphora_terroris,,7,diatom,153.8
4785,amphora_turgida,,7,diatom,93.24
1100,anabaena,,3,cyanobacteria,3.44
1100,anabaena,species_1,3,cyanobacteria,3.44
1100,anabaena,species_2,3,cyanobacteria,3.44
1129,anabaena_aequalis,,3,cyanobacteria,43.57
1107,anabaena_affinis,,3,cyanobacteria,16.6
1132,anabaena_augstumalis_marchica,,3,cyanobacteria,35.04
1104,anabaena_circinalis,,3,cyanobacteria,78.46
1134,anabaena_confervoides,,3,cyanobacteria,3.44
1141,anabaena_limnetica,,3,cyanobacteria,155.12
1119,anabaena_spiroides,,3,cyanobacteria,37.16
1121,anabaena_spiroides_crassa,,3,cyanobacteria,94.68
1143,anabaena_wisconsinense,,3,cyanobacteria,3.44
