tsn,final_tsn,final_id,kingdom,subkingdom,infrakingdom,superdivision,division,subdivision,superphylum,phylum,subphylum,class,subclass,order,suborder,superfamily,family,genus,species,subspecies
0,,,,,,,,,,,,,,,,,,,,
625,625,aphanocapsa,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,chroococcales,,,chroococcaceae,aphanocapsa,,
654,654,chroococcus,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,chroococcales,,,chroococcaceae,chroococcus,,
656,656,chroococcus_limneticus,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,chroococcales,,,chroococcaceae,chroococcus,chroococcus_limneticus,
665,665,chroococcus_dispersus,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,chroococcales,,,chroococcaceae,chroococcus,chroococcus_dispersus,
667,667,chroococcus_dispersus_minor,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,chroococcales,,,chroococcaceae,chroococcus,chroococcus_dispersus,chroococcus_dispersus_minor
674,674,chroococcus_prescottii,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,chroococcales,,,chroococcaceae,chroococcus,chroococcus_prescottii,
682,682,gloeocapsa,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,chroococcales,,,chroococcaceae,gloeocapsa,,
700,700,gloeocapsa_punctata,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,chroococcales,,,chroococcaceae,gloeocapsa,gloeocapsa_punctata,
703,703,gloeothece,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,chroococcales,,,chroococcaceae,gloeothece,,
708,708,gloeothece_linearis_composita,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,chroococcales,,,chroococcaceae,gloeothece,gloeothece_linearis,gloeothece_linearis_composita
714,714,gomphosphaeria,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,chroococcales,,,chroococcaceae,gomphosphaeria,,
727,727,merismopedia,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,chroococcales,,,chroococcaceae,merismopedia,,
728,728,merismopedia_glauca,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,chroococcales,,,chroococcaceae,merismopedia,merismopedia_glauca,
732,732,merismopedia_elegans,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,chroococcales,,,chroococcaceae,merismopedia,merismopedia_elegans,
738,738,merismopedia_punctata,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,chroococcales,,,chroococcaceae,merismopedia,merismopedia_punctata,
739,739,merismopedia_tenuissima,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,chroococcales,,,chroococcaceae,merismopedia,merismopedia_tenuissima,
747,747,microcystis,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,chroococcales,,,chroococcaceae,microcystis,,
750,750,microcystis_aeruginosa,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,chroococcales,,,chroococcaceae,microcystis,microcystis_aeruginosa,
771,770,microcystis_pulverea_incerta,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,chroococcales,,,chroococcaceae,microcystis,microcystis_pulverea,microcystis_pulverea_incerta
791,791,coelosphaerium,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,chroococcales,,,chroococcaceae,coelosphaerium,,
796,796,coelosphaerium_dubium,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,chroococcales,,,chroococcaceae,coelosphaerium,coelosphaerium_dubium,
861,861,nostocales,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,nostocales,,,,,,
870,870,lyngbya,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,nostocales,,,oscillatoriaceae,lyngbya,,
882,882,lyngbya_contorta,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,nostocales,,,oscillatoriaceae,lyngbya,lyngbya_contorta,
894,894,lyngbya_limnetica,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,nostocales,,,oscillatoriaceae,lyngbya,lyngbya_limnetica,
917,917,oscillatoria,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,nostocales,,,oscillatoriaceae,oscillatoria,,
992,992,phormidium,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,nostocales,,,oscillatoriaceae,phormidium,,
1053,1053,spirulina,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,nostocales,,,oscillatoriaceae,spirulina,,
1054,1054,spirulina_major,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,nostocales,,,oscillatoriaceae,spirulina,spirulina_major,
1055,1055,spirulina_subsalsa,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,nostocales,,,oscillatoriaceae,spirulina,spirulina_subsalsa,
1063,1063,spirulina_laxa,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,nostocales,,,oscillatoriaceae,spirulina,spirulina_laxa,
1100,1100,anabaena,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,nostocales,,,nostocaceae,anabaena,,
1104,1104,anabaena_circinalis,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,nostocales,,,nostocaceae,anabaena,anabaena_circinalis,
1107,1107,anabaena_affinis,bacteria,negibacteria,,,,,,cyanobacteria,,cyanophyceae,,nostocales,,,nostocaceae,anabaena,anabaena_affinis,
